feature,coef
struct__avg_word_length,3.49537447788593
struct__domain_social,2.3781107845991416
struct__punct_density,1.7304858375052683
tfidf__to,1.4251834406977208
struct__avg_sentence_length,1.3828296464089143
struct__word_count,1.2611563939854908
tfidf__causal,1.1688753917963117
tfidf__see,1.1409210663095242
tfidf__to see,1.1409210663095242
tfidf__now,1.0441598549063587
tfidf__are,0.9583944669175735
tfidf__of,0.9523925590007485
tfidf__an,0.9431631980028234
tfidf__persistent,0.9255757387103896
tfidf__potential,0.9093893876342658
tfidf__both,0.886739691490004
tfidf__the conversation,0.884164091156047
tfidf__following,0.884164091156047
tfidf__conversation,0.884164091156047
tfidf__following the,0.884164091156047
tfidf__progress,0.884164091156047
tfidf__inference the,0.8465374112271369
tfidf__key variables,0.8465374112271369
tfidf__inference,0.8465374112271369
tfidf__limiting,0.8465374112271369
tfidf__has predominantly,0.8465374112271369
tfidf__gap through,0.8465374112271369
tfidf__gap,0.8465374112271369
tfidf__designs limiting,0.8465374112271369
tfidf__existing literature,0.8465374112271369
tfidf__literature on,0.8465374112271369
tfidf__designs,0.8465374112271369
tfidf__cross sectional,0.8465374112271369
tfidf__cross,0.8465374112271369
tfidf__cohort study,0.8465374112271369
tfidf__cohort,0.8465374112271369
tfidf__causal inference,0.8465374112271369
tfidf__years preliminary,0.8465374112271369
tfidf__between key,0.8465374112271369
tfidf__association 05,0.8465374112271369
tfidf__association,0.8465374112271369
tfidf__limiting causal,0.8465374112271369
tfidf__through prospective,0.8465374112271369
tfidf__05 between,0.8465374112271369
tfidf__research addresses,0.8465374112271369
tfidf__three,0.8465374112271369
tfidf__this gap,0.8465374112271369
tfidf__the present,0.8465374112271369
tfidf__study spanning,0.8465374112271369
tfidf__spanning three,0.8465374112271369
tfidf__spanning,0.8465374112271369
tfidf__significant association,0.8465374112271369
tfidf__variables,0.8465374112271369
tfidf__sectional designs,0.8465374112271369
tfidf__sectional,0.8465374112271369
tfidf__relied on,0.8465374112271369
tfidf__years,0.8465374112271369
tfidf__relied,0.8465374112271369
tfidf__prospective cohort,0.8465374112271369
tfidf__prospective,0.8465374112271369
tfidf__present research,0.8465374112271369
tfidf__present,0.8465374112271369
tfidf__preliminary results,0.8465374112271369
tfidf__preliminary,0.8465374112271369
tfidf__predominantly,0.8465374112271369
tfidf__on cross,0.8465374112271369
tfidf__three years,0.8465374112271369
tfidf__predominantly relied,0.8465374112271369
tfidf__05,0.8465374112271369
tfidf__addresses this,0.8465374112271369
tfidf__addresses,0.8465374112271369
tfidf__recommendations,0.8268952292448056
tfidf__much potential,0.8229823283351859
tfidf__moving,0.8229823283351859
tfidf__things,0.8229823283351859
tfidf__there so,0.8229823283351859
tfidf__really fascinating,0.8229823283351859
tfidf__really,0.8229823283351859
tfidf__there,0.8229823283351859
tfidf__approach it,0.8229823283351859
tfidf__quickly things,0.8229823283351859
tfidf__quickly,0.8229823283351859
tfidf__are moving,0.8229823283351859
tfidf__are your,0.8229823283351859
tfidf__moving on,0.8229823283351859
tfidf__much,0.8229823283351859
tfidf__see how,0.8229823283351859
tfidf__here if,0.8229823283351859
tfidf__potential here,0.8229823283351859
tfidf__what are,0.8229823283351859
tfidf__how,0.8229823283351859
tfidf__how quickly,0.8229823283351859
tfidf__we approach,0.8229823283351859
tfidf__fascinating to,0.8229823283351859
tfidf__fascinating,0.8229823283351859
tfidf__if we,0.8229823283351859
tfidf__things are,0.8229823283351859
tfidf__if,0.8229823283351859
tfidf__thoughtfully,0.8229823283351859
tfidf__your thoughts,0.8229823283351859
tfidf__it thoughtfully,0.8229823283351859
tfidf__so much,0.8229823283351859
tfidf__thoughtfully what,0.8229823283351859
tfidf__of the,0.807564939984959
tfidf__mount,0.7982080749713527
tfidf__to mount,0.7982080749713527
tfidf__term planning,0.7982080749713527
tfidf__emerges coalition,0.7982080749713527
tfidf__coalition,0.7982080749713527
tfidf__letter urging,0.7982080749713527
tfidf__emerges,0.7982080749713527
tfidf__concerns over,0.7982080749713527
tfidf__mount as,0.7982080749713527
tfidf__term,0.7982080749713527
tfidf__as new,0.7982080749713527
tfidf__tensions,0.7982080749713527
tfidf__new evidence,0.7982080749713527
tfidf__allocation,0.7982080749713527
tfidf__allocation and,0.7982080749713527
tfidf__tensions about,0.7982080749713527
tfidf__letter,0.7982080749713527
tfidf__about resource,0.7982080749713527
tfidf__continue to,0.7982080749713527
tfidf__resource allocation,0.7982080749713527
tfidf__resource,0.7982080749713527
tfidf__reflects deeper,0.7982080749713527
tfidf__immediate,0.7982080749713527
tfidf__reflects,0.7982080749713527
tfidf__immediate action,0.7982080749713527
tfidf__open letter,0.7982080749713527
tfidf__open,0.7982080749713527
tfidf__researchers has,0.7982080749713527
tfidf__planning,0.7982080749713527
tfidf__the debate,0.7982080749713527
tfidf__urging immediate,0.7982080749713527
tfidf__urging,0.7982080749713527
tfidf__of researchers,0.7982080749713527
tfidf__evidence emerges,0.7982080749713527
tfidf__continue,0.7982080749713527
tfidf__coalition of,0.7982080749713527
tfidf__deeper,0.7982080749713527
tfidf__debate reflects,0.7982080749713527
tfidf__issued,0.7982080749713527
tfidf__issued an,0.7982080749713527
tfidf__has issued,0.7982080749713527
tfidf__an open,0.7982080749713527
tfidf__action,0.7982080749713527
tfidf__action the,0.7982080749713527
tfidf__deeper tensions,0.7982080749713527
tfidf__and long,0.7982080749713527
tfidf__debate,0.7982080749713527
tfidf__long term,0.7982080749713527
tfidf__as,0.7408182449798608
tfidf__stakeholders,0.723261172809127
tfidf__are now,0.723261172809127
tfidf__experts,0.723261172809127
tfidf__about,0.7223926509170494
tfidf__attention,0.6870380273137217
tfidf__so,0.6681642271299982
tfidf__thoughts,0.6283862596367004
tfidf__developments,0.5920934086061446
tfidf__analysts,0.5920934086061446
tfidf__and stakeholder,0.5613638023856632
tfidf__recommendations are,0.5613638023856632
tfidf__evidence and,0.5613638023856632
tfidf__of persistent,0.5613638023856632
tfidf__unique,0.5613638023856632
tfidf__unique challenges,0.5613638023856632
tfidf__case,0.5613638023856632
tfidf__case analysis,0.5613638023856632
tfidf__failure recommendations,0.5613638023856632
tfidf__stakeholder consultation,0.5613638023856632
tfidf__failure,0.5613638023856632
tfidf__the governance,0.5613638023856632
tfidf__jurisdictions this,0.5613638023856632
tfidf__analysis,0.5613638023856632
tfidf__jurisdictions,0.5613638023856632
tfidf__six jurisdictions,0.5613638023856632
tfidf__existing regulatory,0.5613638023856632
tfidf__on comparative,0.5613638023856632
tfidf__address drawing,0.5613638023856632
tfidf__across six,0.5613638023856632
tfidf__analysis across,0.5613638023856632
tfidf__in empirical,0.5613638023856632
tfidf__ill,0.5613638023856632
tfidf__ill equipped,0.5613638023856632
tfidf__and areas,0.5613638023856632
tfidf__best,0.5613638023856632
tfidf__best practices,0.5613638023856632
tfidf__persistent failure,0.5613638023856632
tfidf__six,0.5613638023856632
tfidf__address,0.5613638023856632
tfidf__governance,0.5613638023856632
tfidf__study identifies,0.5613638023856632
tfidf__areas of,0.5613638023856632
tfidf__grounded,0.5613638023856632
tfidf__comparative case,0.5613638023856632
tfidf__comparative,0.5613638023856632
tfidf__are grounded,0.5613638023856632
tfidf__to address,0.5613638023856632
tfidf__governance of,0.5613638023856632
tfidf__are ill,0.5613638023856632
tfidf__regulatory frameworks,0.5613638023856632
tfidf__consultation,0.5613638023856632
tfidf__identifies best,0.5613638023856632
tfidf__presents unique,0.5613638023856632
tfidf__presents,0.5613638023856632
tfidf__regulatory,0.5613638023856632
tfidf__stakeholder,0.5613638023856632
tfidf__equipped,0.5613638023856632
tfidf__equipped to,0.5613638023856632
tfidf__grounded in,0.5613638023856632
tfidf__challenges that,0.5613638023856632
tfidf__practices,0.5613638023856632
tfidf__practices and,0.5613638023856632
tfidf__document highlights,0.5224321967798704
tfidf__conversation around,0.5224321967798704
tfidf__cooperation is,0.5224321967798704
tfidf__solution,0.5224321967798704
tfidf__the release,0.5224321967798704
tfidf__is being,0.5224321967798704
tfidf__cooperation,0.5224321967798704
tfidf__comprehensive new,0.5224321967798704
tfidf__both progress,0.5224321967798704
tfidf__intensified following,0.5224321967798704
