text_id,text_content,domain,template_id,label,predicted,prob_ai
TXT_0019,"A growing body of research underscores the salience of genomic research breakthroughs as both an academic and practical concern. This paper synthesizes findings from 47 peer-reviewed studies published between 2018 and 2024, identifying converging themes and methodological limitations. The results have implications for theory development and applied practice.",academic,0,ai,human,0.32533312529575714
TXT_0022,"A growing body of research underscores the salience of supply chain disruptions as both an academic and practical concern. This paper synthesizes findings from 47 peer-reviewed studies published between 2018 and 2024, identifying converging themes and methodological limitations. The results have implications for theory development and applied practice.",academic,0,ai,human,0.27118207133302774
TXT_0027,Just came across an article on genomic research breakthroughs and it's really making me reconsider some of my assumptions. Highly recommend giving it a read if you haven't already.,social,13,ai,human,0.4533765816375078
TXT_0059,Just came across an article on urban housing shortages and it's really making me reconsider some of my assumptions. Highly recommend giving it a read if you haven't already.,social,13,ai,human,0.36024317319119803
TXT_0084,"A growing body of research underscores the salience of space exploration milestones as both an academic and practical concern. This paper synthesizes findings from 47 peer-reviewed studies published between 2018 and 2024, identifying converging themes and methodological limitations. The results have implications for theory development and applied practice.",academic,0,ai,human,0.3139596662007232
TXT_0090,"A growing body of research underscores the salience of genomic research breakthroughs as both an academic and practical concern. This paper synthesizes findings from 47 peer-reviewed studies published between 2018 and 2024, identifying converging themes and methodological limitations. The results have implications for theory development and applied practice.",academic,0,ai,human,0.32533312529575714
TXT_0091,"A growing body of research underscores the salience of remote work productivity as both an academic and practical concern. This paper synthesizes findings from 47 peer-reviewed studies published between 2018 and 2024, identifying converging themes and methodological limitations. The results have implications for theory development and applied practice.",academic,0,ai,human,0.2707831113268268
TXT_0129,Just came across an article on data privacy legislation and it's really making me reconsider some of my assumptions. Highly recommend giving it a read if you haven't already.,social,13,ai,human,0.3507716133423483
TXT_0171,Just came across an article on biodiversity loss and it's really making me reconsider some of my assumptions. Highly recommend giving it a read if you haven't already.,social,13,ai,human,0.2893215926002596
TXT_0188,"A growing body of research underscores the salience of renewable energy adoption as both an academic and practical concern. This paper synthesizes findings from 47 peer-reviewed studies published between 2018 and 2024, identifying converging themes and methodological limitations. The results have implications for theory development and applied practice.",academic,0,ai,human,0.2826219534808967
